Student,Team,Fork,Java,Test,UG,Marks
shuanang,W13,1,1,1,0,2
arjo129,W13,1,2,3,0,2
jeremyinelysium,W13,1,0,0,0,0
emobeany,W13,1,1,5,1,2
bennchong,W13,1,1,1,0,2
chanchuncheong,W13,1,2,1,0,2
chelseyong,W13,1,2,2,0,2
cjinting-nus,W13,1,1,0,0,2
cjunxiang,W13,1,1,0,0,2
kennethcsj,W13,1,1,0,0,2
alexiscatnip,W13,1,1,0,0,2
kohjunkiat,W13,1,4,1,2,2
guiyong96,W13,1,1,0,0,2
tttaus,W13,1,2,0,0,2
nianfei97,W13,1,1,1,1,2
iashcole,W13,1,1,0,0,2
linnnruoo,W12,1,1,0,0,2
driedmelon,W12,1,1,0,0,2
elstonayx,W12,1,1,0,1,2
bearperson1,W12,1,2,6,0,2
bluein-green,W12,1,3,2,0,2
leegengyu,W12,1,2,1,0,2
lekoook,W12,1,3,1,0,2
lws803,W12,1,2,0,0,2
scottljw,W12,1,1,0,1,2
jitwei98,W12,1,10,6,0,2
limminghong,W12,1,2,0,0,2
peiying98,W12,0,0,0,0,0
lunastryke,W12,1,1,0,0,2
e0201942,W12,1,2,0,0,2
auskure,W12,1,3,2,0,2
lowginwee,W12,1,1,0,0,2
junweiljw,W12,1,1,0,0,2
liu-tianhang,W12,1,1,1,0,2
qzsg,T13,1,4,4,0,2
parask26,T13,1,1,0,0,2
xllx1,T13,1,2,0,0,2
chensongjian,T13,1,2,0,0,2
e0191729,T13,1,4,0,0,2
garyheng,T13,1,2,0,0,2
t0roloco,T13,1,1,0,0,2
ian-tjahjono,T13,0,0,0,0,0
luhan02,T13,1,1,0,0,2
amirulmaricar,T13,1,3,0,0,2
novin997,T13,1,3,0,0,2
rajdeepsh,T13,1,4,0,0,2
garagaristahir,T13,1,1,0,0,2
e0176882,T13,1,2,0,0,2
daryltew,T13,1,2,0,0,2
shouteck,T13,1,3,0,0,2
hansskoh,T13,0,0,0,0,0
yicheng12,T13,1,1,0,0,2
clara1234566,T13,1,1,0,0,2
dyeosy98,T13,0,0,0,0,0
meowzz95,T13,1,2,0,0,2
jieliangang,T16,1,1,2,0,2
ryanchen2018,T16,1,1,0,0,2
speezy37,T16,1,3,1,0,2
chuazhenwei,T16,1,1,0,0,2
jomcruz93,T16,1,1,1,0,2
fr3ddy4,T16,1,3,0,0,2
zhicaizack,T16,1,1,2,1,2
jeevz10,T16,1,1,0,0,2
jylee-git,T16,1,1,0,0,2
icedcoffeeboy,T16,1,2,2,0,2
pinjuen,T16,1,1,0,0,2
woonhian,T16,1,3,0,0,2
limyisheng,T16,1,1,0,0,2
m-aslam-mj2,T16,1,2,3,2,2
hafizuddin-nus,T16,1,1,0,0,2
tristyxxnana,T16,1,1,2,0,2
perrythewang,T16,1,7,6,0,2
harriuscai,T16,1,1,1,0,2
xiiaopanda,T16,1,1,0,0,2
zhihong8888,T16,1,1,0,0,2
xhxh96,T12,1,1,0,0,2
brandonccm1996,T12,1,5,2,0,2
chewkahmeng,T12,1,1,0,0,2
chewkinwhye,T12,1,1,0,0,2
chiaxr,T12,1,2,2,0,2
chokxy,T12,0,0,0,0,2
cqinkai,T12,1,0,0,0,2
davindran,T12,1,0,0,0,0
gaoqikai,T12,1,1,0,0,2
geraldcdx,T12,1,2,4,0,2
HeHaowei,T12,1,0,0,0,2
tertium3,T12,0,0,0,0,0
xshaivan,T12,1,1,0,0,2
jamesyaputra,T12,1,6,4,0,2
kelvintankaiboon,T12,1,2,3,0,2
darylnigel,T09,1,1,0,0,2
ftywan,T09,1,1,0,0,2
nguyenngoclinhchi,T09,1,3,0,0,2
hyukiejun,T09,1,1,0,0,2
psyf,T09,1,5,0,0,2
trufflepirate,T09,1,1,2,0,2
arty9,T09,1,1,0,0,2
tehzt,T09,0,0,0,0,0
teojunjie,T09,1,1,0,0,2
tenvinc,T09,1,3,2,0,2
shiningggg,T09,1,0,0,0,0
xiaoyunhan,T09,1,1,0,0,2
xinshenzi,T09,0,0,0,0,0
oscar zeng,T09,0,0,0,0,0
allenzb,T09,1,2,0,0,2
za-yn,T09,1,1,0,0,2
sijieg,T13,1,3,0,0,2
tsuweiquan,T13,1,7,0,0,2
andrewome,F09,1,2,5,0,2
angwm,F09,1,1,2,0,2
derpyplops,F09,1,0,0,0,0
kianhong95,F09,1,1,2,0,2
px1099,F09,1,2,0,1,2
leerachel,F09,1,1,0,0,2
salsabiltasnia,F09,1,1,0,0,2
sandhyagopakumar,F09,1,2,0,0,2
sanjukta99,F09,1,3,0,0,2
sarahtaaherbonna,F09,1,1,0,0,2
mingxunseah,F09,1,1,0,0,2
sxqnicholas96,F09,1,12,3,0,2
ladderinc,F09,1,1,1,0,2
aaryamnus,F09,1,1,0,0,2
chocological,F09,1,7,0,0,2
kianmengtan,F09,1,1,0,0,2
kronicler,F09,0,0,0,0,0
wm28,F09,1,1,5,0,2
kangmingtay,F09,1,1,0,0,2
lucdx,F10,1,1,0,0,2
andyrobert3,F10,1,1,0,0,2
meg1456,F10,1,6,0,0,2
micklwl,F10,1,8,2,0,2
muhdharun,F10,1,1,0,0,2
meisbokai,F10,1,1,0,0,2
0wn463,F10,1,1,0,0,2
nichpang1,F10,1,4,0,0,2
ongjiajian,F10,1,2,0,0,2
ongweekeong,F10,1,3,0,0,2
c-e-ooi,F10,1,1,0,0,2
iamputradanish,F10,1,3,0,0,2
shreyaskp,F10,1,1,3,0,2
keithtqs,F10,1,1,0,0,2
