"Student","Team","Java","UG","DG","Test","Junit","Peer_Review"
"allenzb","T09-3","2","2","0","2","0","1"
"darylnigel","T09-3","2","1","0","0","0","1"
"hyukiejun","T09-3","12","2","0","4","4","1"
"za-yn","T09-3","5","1","0","3","2","1"
"clara1234566","T13-4","3","1","0","2","0","1"
"e0176882","T13-4","3","1","0","1","0","1"
"novin997","T13-4","11","1","0","4","2","1"
"rajdeepsh","T13-4","5","1","0","2","0","1"
"tsuweiquan","T13-4","6","1","0","3","1","1"
"ftywan","T09-1","2","0","0","0","0","1"
"psyf","T09-1","7","1","0","2","0","1"
"teojunjie","T09-1","5","1","0","4","1","1"
"trufflepirate","T09-1","3","1","0","3","1","1"
"chewkinwhye","T12-3","0","0","0","0","0","0"
"davindran","T12-3","3","1","0","2","0","0"
"gaoqikai","T12-3","0","0","0","0","0","0"
"kelvintankaiboon","T12-3","4","1","0","9","0","0"
"nguyenngoclinhchi","T09-4","10","1","0","1","0","1"
"oscarzeng","T09-4","3","1","0","2","0","1"
"tztzt","T09-4","7","0","0","2","0","1"
"tenvinc","T09-4","7","1","0","4","2","1"
"chiaxr","T12-1","7","1","0","2","0","0"
"cqinkai","T12-1","7","0","0","0","0","1"
"geraldcdx","T12-1","2","1","0","2","0","1"
"hehaowei","T12-1","0","0","0","0","0","0"
"jamesyaputra","T12-1","4","1","0","2","0","1"
"tertium3","T12-1","10","1","0","2","0","1"
"e0191729","T13-2","5","1","0","2","0","1"
"hanskoh","T13-2","2","1","0","2","0","1"
"meowzz95","T13-2","3","1","0","2","0","1"
"xllx1","T13-2","4","1","0","2","0","1"
"daryltew","T13-5","8","2","0","0","0","1"
"garyheng","T13-5","2","1","0","0","0","1"
"shouteck","T13-5","10","2","0","4","0","1"
"sijieg","T13-5","14","1","0","9","8","1"
"yicheng12","T13-5","2","1","0","2","0","1"
"hafizuddin-nus","T16-3","8","1","0","2","0","1"
"harriuscai","T16-3","2","1","0","3","1","1"
"jylee-git","T16-3","4","1","0","2","0","1"
"pinjuen","T16-3","5","1","0","1","0","1"
"speezy37","T16-3","5","1","0","0","0","1"
"woonhian","T16-3","7","1","0","2","0","1"
"chensongjian","T13-1","5","1","0","2","0","0"
"ian-tjahjono","T13-1","0","0","0","0","0","0"
"luhan02","T13-1","5","1","0","2","0","1"
"qzsg","T13-1","6","1","0","1","1","1"
"t0roloco","T13-1","0","0","0","0","0","0"
"jomcruz93","T16-1","2","1","0","0","0","0"
"m-aslam-mj2","T16-1","2","1","0","3","1","1"
"tristyxxnana","T16-1","2","1","0","3","1","1"
"zhicaizack","T16-1","2","1","0","3","1","1"
"brandonccm1996","T12-2","1","1","0","1","0","1"
"chewkahmeng","T12-2","1","1","0","1","0","1"
"chokxy","T12-2","2","0","0","0","0","1"
"xhxh96","T12-2","5","1","0","2","0","1"
"xshaivan","T12-2","2","0","0","0","0","1"
"amirulmaricar","T13-3","6","0","0","4","4","0"
"dyeosy98","T13-3","0","0","0","0","0","0"
"garagaristahir","T13-3","0","0","0","0","0","0"
"parask26","T13-3","0","0","0","0","0","1"
"arty9","T09-2","0","0","0","0","0","1"
"shiningggg","T09-2","1","1","1","2","0","1"
"xiaoyunhan","T09-2","0","0","0","0","0","0"
"feijunzi","T09-2","0","0","0","0","0","0"
"fr3ddy4","T16-2","1","1","0","0","0","1"
"icedcoffeeboy","T16-2","10","1","0","4","1","1"
"jeevz10","T16-2","2","1","0","2","0","1"
"jieliangang","T16-2","6","1","0","3","1","1"
"perrythewang","T16-2","10","0","0","7","5","1"
"chuazhenwei","T16-4","6","1","0","2","0","1"
"limyisheng","T16-4","7","1","0","2","0","1"
"ryanchen2018","T16-4","4","1","0","2","0","1"
"xiiaopanda","T16-4","7","1","0","2","0","1"
"zhihong8888","T16-4","8","1","0","3","1","1"
